ROTO Header[281]*******.0.108:41620
MSG Header[257]0xbabeface-13-1797792923-1
Module Header[249]0x1-0-0:0-30-1-0
-SliceHead:0-1-0-0
-PacketHead:0xbabeface-25-8-217-Data:859256161-GCMNonce[0000001911828ecc35d1aeae]-281-189:*******
10-25 17:26:02.774|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:02.806|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:02.833|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:02.869|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:02.907|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:02.936|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:02.973|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:03.010|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:03.037|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:03.076|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:03.111|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:03.139|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:03.173|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:03.208|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:03.236|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:03.273|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:03.307|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:03.334|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:03.369|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:03.402|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:03.429|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:03.466|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:03.498|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:03.524|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:03.560|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:03.592|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:03.620|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:03.659|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:03.695|CheckOtaPkgSHA256|842|[I]:len:4096, type:1
10-25 17:26:03.722|ConnectionHttpSend|143|[I]:send succ
10-25 17:26:04.853|DownloadPkgScheduleFunc|2408|[I]:schedule: 15000/205000
type:0 req:677905387, rpt:1056
10-25 17:26:04.855|MagicLinkOtaGetReportInfo|3351|[I]:succ
